[2019-07-19 00:40:49] [INFO] (['PB1907'], '5m', 0, -17.71549955246883, ' time:', 102.40825080871582)
[2019-07-19 00:40:53] [INFO] (['PP1909'], '5m', 3, 52446.080411972216, ' time:', 106.03872108459473)
[2019-07-19 00:40:58] [INFO] (['RB1910'], '5m', 6, -63672.33396987911, ' time:', 110.89779925346375)
[2019-07-19 00:41:01] [INFO] (['RB2001'], '5m', 6, -38886.99517961359, ' time:', 114.01579451560974)
[2019-07-19 00:41:05] [INFO] (['RM1909'], '5m', 4, 111163.5, ' time:', 118.24748611450195)
[2019-07-19 00:41:07] [INFO] (['RM2001'], '5m', 2, 38345.250000000015, ' time:', 120.2580509185791)
[2019-07-19 00:41:11] [INFO] (['RU1909'], '5m', 1, -8699.51965302469, ' time:', 124.14262747764587)
[2019-07-19 00:41:13] [INFO] (['RU2001'], '5m', 1, -26665.42905174989, ' time:', 126.19569706916809)
[2019-07-19 00:41:15] [INFO] (['SF1909'], '5m', 2, -3516.0000000000027, ' time:', 127.82033038139343)
[2019-07-19 00:41:17] [INFO] (['SM1909'], '5m', 3, -8739.199999999999, ' time:', 130.51650500297546)
[2019-07-19 00:41:18] [INFO] (['SN1909'], '5m', 1, -179.40000000000003, ' time:', 131.59258389472961)
[2019-07-19 00:41:19] [INFO] (['SR1905'], '5m', 0, -52.800000000000004, ' time:', 132.22293877601624)
[2019-07-19 00:41:22] [INFO] (['SR1909'], '5m', 3, 119118.60000000003, ' time:', 135.50875759124756)
[2019-07-19 00:41:25] [INFO] (['SR2001'], '5m', 2, -10045.199999999997, ' time:', 137.94445395469666)
[2019-07-19 00:41:25] [INFO] (['TA1905'], '5m', 0, -115.50000000000001, ' time:', 138.5882227420807)
[2019-07-19 00:41:28] [INFO] (['TA1907'], '5m', 2, -22363.0, ' time:', 140.7950165271759)
[2019-07-19 00:41:31] [INFO] (['TA1909'], '5m', 3, 72529.80000000002, ' time:', 144.03108668327332)
[2019-07-19 00:41:32] [INFO] (['TA2001'], '5m', 1, 21151.800000000003, ' time:', 145.57522654533386)
[2019-07-19 00:41:36] [INFO] (['V1909'], '5m', 1, 15423.8, ' time:', 148.9008412361145)
[2019-07-19 00:41:39] [INFO] (['Y1909'], '5m', 2, -18275.0, ' time:', 152.18383312225342)
[2019-07-19 00:41:40] [INFO] (['Y2001'], '5m', 1, -7913.5, ' time:', 153.68598985671997)
[2019-07-19 00:41:42] [INFO] (['ZC1907'], '5m', 2, -1625.9999999999795, ' time:', 155.60449147224426)
[2019-07-19 00:41:45] [INFO] (['ZC1909'], '5m', 4, 26726.40000000029, ' time:', 158.50756525993347)
